#Data: SHAPE_SFM_49k_v20180804.dat
#Number of Polygons: 49152
#Rotational Period: 3.4 [h] , Density: 1200 [kg/m^3] 
#Unit: Polygon center coordinate in km, and SI units for other values.49152
#PlateID  center_x   center_y   center_z   lon    lat    CRefAccx   CRefAccy   CRefAccz   attract_x  attract_y  attract_z  Gpotential Rpotential Tpotential GeopotentialSlope  normal_x    normal_y    normal_z   area   
          28    -0.2756     0.1534     0.2828  150.9  41.89 -7.261e-05  4.042e-05         -0  1.945e-05 -3.951e-06 -0.0001115    0.06933     0.0131   -0.08243   25.5      -40.31        20.64        64.45 3.938e-05 
          29    -0.2736     0.1486     0.2858  151.5  42.54 -7.209e-05  3.917e-05         -0   1.98e-05  -3.75e-06 -0.0001124    0.06939    0.01277   -0.08217  27.07      -40.18        24.49        63.88 3.967e-05 
          30     -0.277      0.146     0.2844  152.2  42.26 -7.298e-05  3.847e-05         -0  1.967e-05 -3.386e-06 -0.0001121    0.06934    0.01291   -0.08226  27.69       -43.7        19.37        62.54 3.936e-05 
          31    -0.2749     0.1412     0.2873  152.8  42.91 -7.245e-05  3.721e-05         -0  2.009e-05 -3.003e-06 -0.0001129    0.06941    0.01259   -0.08199  27.25      -44.38        18.39        63.65 3.987e-05 
          32    -0.2781     0.1385     0.2857  153.5   42.6 -7.328e-05  3.649e-05         -0  2.002e-05 -2.661e-06 -0.0001127     0.0694    0.01272   -0.08211  28.19      -46.81        14.46        62.33 3.964e-05 
          33     -0.276     0.1337     0.2885  154.2  43.25 -7.272e-05  3.522e-05         -0  2.037e-05  -2.34e-06 -0.0001135    0.06946    0.01239   -0.08185  28.82      -46.94         16.9        62.27 3.989e-05 
          34    -0.2791      0.131     0.2868  154.9  42.93 -7.355e-05  3.451e-05         -0   2.03e-05  -2.09e-06 -0.0001132    0.06946    0.01252   -0.08198  29.16      -47.77        15.66        61.91 3.987e-05 
          35     -0.277     0.1261     0.2897  155.5  43.59 -7.298e-05  3.323e-05         -0  2.057e-05 -1.709e-06 -0.0001141    0.06951     0.0122   -0.08172  28.84      -48.21        14.47         62.6 4.016e-05 
          36      -0.28     0.1234     0.2879  156.2  43.25 -7.379e-05  3.252e-05         -0  2.051e-05 -1.489e-06 -0.0001137    0.06952    0.01234   -0.08186  29.26      -49.24        13.05        62.29 4.023e-05 
          37    -0.2777     0.1185     0.2906  156.9   43.9 -7.319e-05  3.123e-05         -0  2.076e-05 -1.094e-06 -0.0001146    0.06959    0.01201   -0.08161  28.67      -49.94        10.25        63.41 4.068e-05 
          38    -0.2808     0.1158     0.2887  157.6  43.55   -7.4e-05  3.052e-05         -0  2.064e-05 -9.701e-07 -0.0001143     0.0696    0.01216   -0.08176  27.82      -47.72        13.22        63.98 4.045e-05 
          39    -0.2785     0.1109     0.2914  158.3  44.19 -7.339e-05  2.923e-05         -0  2.086e-05 -6.246e-07 -0.0001152    0.06965    0.01184   -0.08149  27.85      -48.31        13.38        64.78 4.095e-05 
          40    -0.2817     0.1083     0.2897    159  43.83 -7.423e-05  2.854e-05         -0  2.068e-05 -4.914e-07 -0.0001148    0.06963      0.012   -0.08163  27.31      -46.28        16.07        65.28 4.081e-05 
          41    -0.2794     0.1034     0.2925  159.7  44.48 -7.364e-05  2.724e-05         -0  2.086e-05 -6.842e-08 -0.0001156    0.06965     0.0117   -0.08135  27.51       -46.9        16.73        66.15 4.14e-05 
          42    -0.2827     0.1008     0.2908  160.4   44.1 -7.449e-05  2.656e-05         -0  2.069e-05  1.714e-07 -0.0001153    0.06962    0.01187   -0.08148  28.14      -48.52        14.14        65.26 4.127e-05 
          43    -0.2802    0.09575     0.2933  161.1  44.73 -7.383e-05  2.523e-05         -0  2.093e-05  8.224e-07 -0.0001161     0.0697    0.01155   -0.08125  26.34      -49.64        2.497        67.14 4.177e-05 
          44    -0.2833    0.09317     0.2914  161.8  44.33 -7.466e-05  2.455e-05         -0  2.063e-05  8.702e-07 -0.0001158    0.06968    0.01172    -0.0814  23.44      -43.79        11.42        69.84 4.161e-05 
          45    -0.2807    0.08809     0.2938  162.6  44.96 -7.397e-05  2.321e-05         -0  2.087e-05  1.361e-06 -0.0001166    0.06977     0.0114   -0.08117  22.86      -44.48        8.637        70.95 4.209e-05 
          46    -0.2841    0.08557     0.2922  163.2  44.56 -7.487e-05  2.255e-05         -0  2.049e-05  1.453e-06 -0.0001163    0.06968     0.0116   -0.08128  21.81      -40.44        14.47        72.51 4.214e-05 
          47    -0.2815    0.08045     0.2946    164  45.17 -7.418e-05   2.12e-05         -0  2.074e-05  1.934e-06 -0.0001171    0.06976    0.01129   -0.08105   21.1       -41.2        12.08        73.83 4.27e-05 
          48    -0.2849    0.07795     0.2929  164.7  44.76 -7.506e-05  2.054e-05         -0  2.051e-05  2.174e-06 -0.0001166    0.06967    0.01149   -0.08117  22.32      -43.65         7.26        71.26 4.194e-05 
          49    -0.2823    0.07282     0.2954  165.5  45.38 -7.438e-05  1.919e-05         -0   2.07e-05  2.474e-06 -0.0001173    0.06973     0.0112   -0.08092  24.65       -43.3        16.62        70.98 4.24e-05 
          50    -0.2859     0.0704      0.294  166.2  44.96 -7.533e-05  1.855e-05         -0  2.033e-05  2.652e-06 -0.0001168    0.06958    0.01142     -0.081  24.68      -38.61        23.44        73.01 4.292e-05 
          51    -0.2834    0.06526     0.2967    167  45.57 -7.468e-05   1.72e-05         -0  2.048e-05  3.355e-06 -0.0001175    0.06958    0.01114   -0.08072   21.9      -39.86        16.19         74.9 4.319e-05 
          52    -0.2868    0.06281      0.295  167.6  45.14 -7.556e-05  1.655e-05         -0   2.04e-05  3.902e-06 -0.0001169    0.06949    0.01135   -0.08084  24.81      -47.81        3.454        69.97 4.241e-05 
          53     -0.284    0.05756     0.2972  168.5  45.73 -7.483e-05  1.517e-05         -0  2.069e-05  4.551e-06 -0.0001176    0.06956    0.01106   -0.08062  24.95       -48.4        5.047         70.9 4.3e-05 
          54    -0.2869    0.05509      0.295  169.1  45.27 -7.561e-05  1.452e-05         -0  2.074e-05  5.031e-06  -0.000117    0.06956    0.01125   -0.08081  29.21      -53.89       -4.941        65.87 4.262e-05 
          55    -0.2871    0.04993      0.295  170.1  45.36 -7.564e-05  1.316e-05         -0  2.086e-05  5.512e-06 -0.0001171    0.06958    0.01119   -0.08077   30.1      -53.72        8.844        66.36 4.292e-05 
          56    -0.2842    0.04721     0.2974  170.6  45.91  -7.49e-05  1.244e-05         -0  2.091e-05   5.94e-06 -0.0001178     0.0696    0.01094   -0.08054  25.71      -50.11        1.168        70.16 4.311e-05 
          57    -0.2841    0.04202     0.2971  171.6  45.98 -7.487e-05  1.107e-05         -0  2.104e-05  6.812e-06 -0.0001178    0.06967    0.01087   -0.08053  25.78      -50.07       -9.701        69.42 4.307e-05 
          58    -0.2869     0.0396     0.2947  172.1   45.5 -7.561e-05  1.043e-05         -0  2.101e-05  7.166e-06 -0.0001173    0.06969    0.01105   -0.08074  26.28      -50.09       -10.57        68.19 4.263e-05 
          59    -0.2864    0.03452      0.294  173.1  45.54 -7.547e-05  9.095e-06         -0  2.125e-05  7.846e-06 -0.0001173    0.06983    0.01097    -0.0808  27.43       -49.6       -18.57        66.93 4.268e-05 
          60    -0.2834    0.03174     0.2961  173.6  46.08 -7.467e-05  8.364e-06         -0   2.15e-05  7.999e-06 -0.0001179    0.06988    0.01071    -0.0806  32.64      -58.94       -4.135        63.17 4.325e-05 
          61    -0.2857    0.02683     0.2932  174.6  45.62 -7.529e-05  7.071e-06         -0  2.155e-05  8.529e-06 -0.0001174    0.06999    0.01085   -0.08084  33.09       -57.7       -12.46        60.99 4.244e-05 
          62     -0.283    0.02397     0.2956  175.2  46.15 -7.456e-05  6.317e-06         -0  2.157e-05  8.833e-06  -0.000118    0.06997    0.01062    -0.0806   36.6      -62.99       -4.111        58.73 4.311e-05 
          63    -0.2852    0.01912     0.2927  176.2  45.68 -7.515e-05  5.039e-06         -0  2.152e-05  9.289e-06 -0.0001176    0.07008    0.01076   -0.08084  36.73      -61.95       -7.838        57.32 4.238e-05 
          64    -0.2821    0.01632     0.2948  176.7  46.21 -7.434e-05    4.3e-06         -0  2.135e-05  9.989e-06 -0.0001183    0.07011    0.01052   -0.08063  31.13      -51.09       -25.59        62.59 4.238e-05 
          65    -0.2841    0.01157     0.2917  177.7  45.73 -7.486e-05  3.049e-06         -0  2.134e-05  1.019e-05 -0.0001179    0.07026    0.01065   -0.08092  28.85      -50.99       -15.75        63.54 4.149e-05 
          66    -0.2808    0.00882     0.2934  178.2  46.24 -7.399e-05  2.324e-06         -0  2.135e-05  1.068e-05 -0.0001186    0.07035     0.0104   -0.08075  27.28      -47.66       -21.59        65.44 4.189e-05 
          67    -0.2828   0.004113     0.2904  179.2  45.76 -7.451e-05  1.084e-06         -0  2.133e-05  1.092e-05 -0.0001182    0.07048    0.01054   -0.08102   27.6      -46.39       -22.45        63.53 4.091e-05 
          68    -0.2795   0.001307     0.2922  179.7  46.27 -7.364e-05  3.443e-07         -0  2.144e-05  1.119e-05 -0.0001188    0.07055    0.01029   -0.08084  30.34      -53.42       -13.52        62.43 4.163e-05 
          69    -0.2814   -0.00334     0.2892  180.7  45.78 -7.415e-05 -8.801e-07          0  2.139e-05  1.146e-05 -0.0001184    0.07067    0.01044   -0.08111  31.86       -51.8       -21.17        59.25 4.075e-05 
          70    -0.2781   -0.00613     0.2907  181.3  46.27 -7.328e-05 -1.615e-06          0  2.135e-05  1.191e-05  -0.000119    0.07076    0.01019   -0.08096  30.53      -47.24       -28.75        61.15 4.122e-05 
          71      -0.28   -0.01072     0.2877  182.2  45.76 -7.379e-05 -2.826e-06          0  2.128e-05  1.177e-05 -0.0001187    0.07087    0.01035   -0.08122  26.38      -47.32       -12.96         63.9 4.028e-05 
          72    -0.2765   -0.01347     0.2892  182.8  46.25 -7.286e-05  -3.55e-06          0  2.119e-05  1.227e-05 -0.0001194    0.07099     0.0101   -0.08109   23.3      -37.52       -27.12        66.57 4.054e-05 
          73    -0.2788   -0.01822     0.2867  183.7  45.74 -7.346e-05   -4.8e-06          0  2.093e-05  1.205e-05  -0.000119    0.07099    0.01028   -0.08127  18.34      -39.08       -7.918        72.26 4.127e-05 
          74    -0.2752    -0.0209     0.2878  184.3   46.2 -7.252e-05 -5.508e-06          0  2.088e-05  1.263e-05 -0.0001196    0.07115    0.01004   -0.08119  14.86      -27.61       -23.46        73.83 4.112e-05 
          75    -0.2773   -0.02551     0.2851  185.3  45.67 -7.306e-05 -6.722e-06          0  2.069e-05  1.287e-05 -0.0001191     0.0712    0.01021   -0.08141  22.97      -25.94       -36.34        68.07 4.07e-05 
          76    -0.2732   -0.02801     0.2856  185.9  46.12   -7.2e-05  -7.38e-06          0  2.106e-05  1.306e-05 -0.0001197    0.07146    0.00994    -0.0814     21      -32.18       -27.85        66.83 3.961e-05 
          77    -0.2753   -0.03262      0.283  186.8  45.59 -7.255e-05 -8.596e-06          0   2.09e-05  1.283e-05 -0.0001193    0.07147    0.01013    -0.0816  16.87      -32.58       -18.63        69.18 3.935e-05 
          78    -0.2718   -0.03534      0.284  187.4  46.02 -7.162e-05 -9.313e-06          0   2.11e-05  1.299e-05 -0.0001198    0.07162   0.009897   -0.08152  17.04      -33.45       -17.28        68.85 3.924e-05 
          79    -0.2739   -0.03998     0.2817  188.3   45.5 -7.218e-05 -1.054e-05          0   2.09e-05  1.297e-05 -0.0001193    0.07159     0.0101   -0.08169  18.21      -32.28        -19.7        65.87 3.798e-05 
          80    -0.2703   -0.04271     0.2827    189  45.94 -7.123e-05 -1.126e-05          0  2.111e-05  1.313e-05 -0.0001198    0.07174   0.009867   -0.08161  18.52      -33.88       -17.64        65.66 3.798e-05 
          81    -0.2722   -0.04718     0.2801  189.8   45.4 -7.173e-05 -1.243e-05          0  2.105e-05  1.327e-05 -0.0001192    0.07177    0.01005   -0.08182  24.34      -33.21       -29.78        61.62 3.804e-05 
          82    -0.2687   -0.04991      0.281  190.5   45.8 -7.079e-05 -1.315e-05          0  2.133e-05  1.328e-05 -0.0001197    0.07192   0.009838   -0.08176  24.36      -38.38       -22.94        61.06 3.784e-05 
          83    -0.2704    -0.0543     0.2782  191.4  45.24 -7.126e-05 -1.431e-05          0  2.132e-05  1.315e-05 -0.0001191    0.07197    0.01002   -0.08199  24.66      -37.99       -23.46        60.25 3.75e-05 
          84    -0.2669   -0.05711     0.2793  192.1  45.66 -7.034e-05 -1.505e-05          0  2.152e-05  1.315e-05 -0.0001196    0.07208   0.009817    -0.0819  24.68      -38.33       -23.13        60.31 3.756e-05 
          85    -0.2689   -0.06159     0.2768  192.9  45.09 -7.086e-05 -1.623e-05          0   2.14e-05  1.279e-05 -0.0001191    0.07207    0.01003    -0.0821  21.41      -38.71       -13.44        63.42 3.775e-05 
          86    -0.2657    -0.0645      0.278  193.6  45.47 -7.002e-05   -1.7e-05          0   2.15e-05  1.284e-05 -0.0001196    0.07213    0.00985   -0.08198  20.65      -37.22       -15.81        63.94 3.783e-05 
          87    -0.2679   -0.06903     0.2757  194.5   44.9 -7.059e-05 -1.819e-05          0  2.127e-05  1.263e-05  -0.000119    0.07207    0.01008   -0.08215  20.16      -36.31       -13.41        62.92 3.693e-05 
          88    -0.2645   -0.07194     0.2769  195.2  45.29  -6.97e-05 -1.896e-05          0  2.138e-05  1.276e-05 -0.0001195    0.07214   0.009901   -0.08204  19.54      -35.49       -15.37        63.96 3.737e-05 
          89    -0.2666   -0.07643     0.2746    196  44.71 -7.026e-05 -2.014e-05          0  2.113e-05  1.268e-05 -0.0001189    0.07208    0.01014   -0.08222  20.49       -35.5       -17.89        63.25 3.735e-05 
